Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.43782608695652175,0.2822194632514887,1.0,10,0.75,-180,Random,2
0.43782608695652175,0.2822194632514887,1.0,10,0.75,-180,BvSB,2
0.43782608695652175,0.2822194632514887,1.0,10,0.75,-180,BvSB,2
0.41830065359477125,0.28016220866955,1.0,15,0.75,-180,BvSB,2
0.41830065359477125,0.28016220866955,1.0,15,0.75,-180,BvSB,2
0.4017467248908297,0.2900937738834819,1.0,20,0.75,-180,BvSB,4
0.4017467248908297,0.2900937738834819,1.0,20,0.75,-180,BvSB,4
0.37636761487964987,0.28771620085940497,1.0,25,0.75,-180,BvSB,5
0.37636761487964987,0.28771620085940497,1.0,25,0.75,-180,BvSB,5
0.3706140350877193,0.3058053327060593,1.0,30,0.75,-180,BvSB,6
0.3706140350877193,0.3058053327060593,1.0,30,0.75,-180,BvSB,6
0.3516483516483517,0.31364647647676386,1.0,35,0.75,-180,BvSB,6
0.3516483516483517,0.31364647647676386,1.0,35,0.75,-180,BvSB,6
0.3537444933920705,0.31698612450374664,1.0,40,0.75,-180,BvSB,7
0.3537444933920705,0.31698612450374664,1.0,40,0.75,-180,BvSB,7
0.37748344370860926,0.3154479206943595,1.0,45,0.75,-180,BvSB,7
0.37748344370860926,0.3154479206943595,1.0,45,0.75,-180,BvSB,7
0.3734513274336283,0.32653481994125017,0.96,50,0.75,-180,BvSB,7
0.3734513274336283,0.32653481994125017,0.96,50,0.75,-180,BvSB,7
0.37960088691796007,0.32757437672475404,0.9636363636363636,55,0.75,-180,BvSB,7
0.37960088691796007,0.32757437672475404,0.9636363636363636,55,0.75,-180,BvSB,7
0.35644444444444445,0.3205850296548385,0.95,60,0.75,-180,BvSB,9
0.35644444444444445,0.3205850296548385,0.95,60,0.75,-180,BvSB,9
0.3723830734966592,0.32331812244810715,0.9538461538461539,65,0.75,-180,BvSB,9
0.3723830734966592,0.32331812244810715,0.9538461538461539,65,0.75,-180,BvSB,9
0.38169642857142855,0.3284168672758012,0.9571428571428572,70,0.75,-180,BvSB,9
0.38169642857142855,0.3284168672758012,0.9571428571428572,70,0.75,-180,BvSB,9
0.35704697986577183,0.31639011008397777,0.9733333333333334,75,0.75,-180,BvSB,9
0.35704697986577183,0.31639011008397777,0.9733333333333334,75,0.75,-180,BvSB,9
0.36905829596412554,0.3274396093003614,0.925,80,0.75,-180,BvSB,9
0.36905829596412554,0.3274396093003614,0.925,80,0.75,-180,BvSB,9
0.37258426966292135,0.32159430294512625,0.9411764705882353,85,0.75,-180,BvSB,9
0.37258426966292135,0.32159430294512625,0.9411764705882353,85,0.75,-180,BvSB,9
0.3689189189189189,0.31673354642194573,0.9444444444444444,90,0.75,-180,BvSB,9
0.3689189189189189,0.31673354642194573,0.9444444444444444,90,0.75,-180,BvSB,9
0.37020316027088035,0.3157677726887176,0.9473684210526315,95,0.75,-180,BvSB,9
0.37020316027088035,0.3157677726887176,0.9473684210526315,95,0.75,-180,BvSB,9
0.3733031674208145,0.3104217743060079,0.94,100,0.75,-180,BvSB,9
0.3733031674208145,0.3104217743060079,0.94,100,0.75,-180,BvSB,9
0.37188208616780044,0.3089881602296019,0.9238095238095239,105,0.75,-180,BvSB,9
0.37188208616780044,0.3089881602296019,0.9238095238095239,105,0.75,-180,BvSB,9
0.35818181818181816,0.30612845129320104,0.9363636363636364,110,0.75,-180,BvSB,9
0.35818181818181816,0.30612845129320104,0.9363636363636364,110,0.75,-180,BvSB,9
0.35990888382687924,0.30251139600053495,0.9304347826086956,115,0.75,-180,BvSB,9
