Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.4434782608695652,0.27249869041382924,1.0,10,0.75,-180,Random,2
0.4461883408071749,0.2763431997009848,0.5125,80,0.75,-180,AP,8
0.4461883408071749,0.2763431997009848,0.5125,80,0.75,-180,BvSB,8
0.4461883408071749,0.2763431997009848,0.5125,80,0.75,-180,BvSB,8
0.4462921348314607,0.2764537318260456,0.49411764705882355,85,0.75,-180,BvSB,8
0.4462921348314607,0.2764537318260456,0.49411764705882355,85,0.75,-180,BvSB,8
0.44594594594594594,0.275584124046075,0.4888888888888889,90,0.75,-180,BvSB,8
0.44594594594594594,0.275584124046075,0.4888888888888889,90,0.75,-180,BvSB,8
0.44650112866817154,0.2761645848983913,0.47368421052631576,95,0.75,-180,BvSB,11
0.44650112866817154,0.2761645848983913,0.47368421052631576,95,0.75,-180,BvSB,11
0.4461538461538462,0.2758033334393728,0.49,100,0.75,-180,BvSB,11
0.4461538461538462,0.2758033334393728,0.49,100,0.75,-180,BvSB,11
0.4530612244897959,0.2912376045508543,0.5238095238095238,105,0.75,-180,BvSB,12
0.4530612244897959,0.2912376045508543,0.5238095238095238,105,0.75,-180,BvSB,12
0.45454545454545453,0.2966673446138189,0.5363636363636364,110,0.75,-180,BvSB,12
0.45454545454545453,0.2966673446138189,0.5363636363636364,110,0.75,-180,BvSB,12
0.45284738041002276,0.2896569937997271,0.5304347826086957,115,0.75,-180,BvSB,12
0.45284738041002276,0.2896569937997271,0.5304347826086957,115,0.75,-180,BvSB,12
0.4529680365296804,0.2899345020487417,0.5583333333333333,120,0.75,-180,BvSB,12
0.4529680365296804,0.2899345020487417,0.5583333333333333,120,0.75,-180,BvSB,12
0.45675057208237985,0.2982720288990994,0.568,125,0.75,-180,BvSB,12
0.45675057208237985,0.2982720288990994,0.568,125,0.75,-180,BvSB,12
0.4577981651376147,0.3006723217739466,0.5692307692307692,130,0.75,-180,BvSB,12
