Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference
0.18041474654377881,0.09608857494779859,0.9,10,0.75,-190
0.37412095639943743,0.24990045039659994,0.5833333333333334,84,0.75,-190
0.37412095639943743,0.24990045039659994,0.5833333333333334,84,0.75,-190
0.37412095639943743,0.24990045039659994,0.5833333333333334,84,0.75,-190
0.4010808270676692,0.288130246762984,0.5851063829787234,94,0.75,-190
0.4010808270676692,0.288130246762984,0.5851063829787234,94,0.75,-190
0.3469147432878003,0.23776428713800296,0.5096153846153846,104,0.75,-190
0.3469147432878003,0.23776428713800296,0.5096153846153846,104,0.75,-190
0.45609065155807366,0.33670764185573254,0.543859649122807,114,0.75,-190
0.45609065155807366,0.33670764185573254,0.543859649122807,114,0.75,-190
0.43090392806436345,0.3403959969040649,0.5887096774193549,124,0.75,-190
0.43090392806436345,0.3403959969040649,0.5887096774193549,124,0.75,-190
0.4625237191650854,0.38897110393147705,0.5970149253731343,134,0.75,-190
0.4625237191650854,0.38897110393147705,0.5970149253731343,134,0.75,-190
0.5444602948169281,0.46200161887694285,0.6180555555555556,144,0.75,-190
0.5444602948169281,0.46200161887694285,0.6180555555555556,144,0.75,-190
0.5381315538608198,0.4529456989459215,0.6038961038961039,154,0.75,-190
0.5381315538608198,0.4529456989459215,0.6038961038961039,154,0.75,-190
0.5372670807453416,0.45936947341944784,0.5914634146341463,164,0.75,-190
0.5372670807453416,0.45936947341944784,0.5914634146341463,164,0.75,-190
0.5476532567049809,0.4812613768956032,0.5517241379310345,174,0.75,-190
0.5476532567049809,0.4812613768956032,0.5517241379310345,174,0.75,-190
0.5439270283245319,0.4619691082494173,0.5706521739130435,184,0.75,-190
0.5439270283245319,0.4619691082494173,0.5706521739130435,184,0.75,-190
0.5442733397497593,0.4746768551920093,0.5927835051546392,194,0.75,-190
0.5442733397497593,0.4746768551920093,0.5927835051546392,194,0.75,-190
0.5489628557645924,0.48010776601266403,0.5784313725490197,204,0.75,-190
0.5489628557645924,0.48010776601266403,0.5784313725490197,204,0.75,-190
0.5454545454545454,0.47965210092068733,0.5747663551401869,214,0.75,-190
0.5454545454545454,0.47965210092068733,0.5747663551401869,214,0.75,-190
0.549684924866699,0.4857456690954666,0.5625,224,0.75,-190
0.549684924866699,0.4857456690954666,0.5625,224,0.75,-190
0.5626822157434402,0.5016382898154359,0.594017094017094,234,0.75,-190
0.5626822157434402,0.5016382898154359,0.594017094017094,234,0.75,-190
0.5647832440331223,0.5103774068892504,0.569672131147541,244,0.75,-190
0.5647832440331223,0.5103774068892504,0.569672131147541,244,0.75,-190
0.589599609375,0.5508013029519415,0.5866141732283464,254,0.75,-190
0.589599609375,0.5508013029519415,0.5866141732283464,254,0.75,-190
0.6093979441997063,0.5743202508526343,0.6098484848484849,264,0.75,-190
0.6093979441997063,0.5743202508526343,0.6098484848484849,264,0.75,-190
0.6113837095191365,0.5718163616762768,0.6058394160583942,274,0.75,-190
0.6113837095191365,0.5718163616762768,0.6058394160583942,274,0.75,-190
0.6138711264141663,0.5825747884252792,0.6232394366197183,284,0.75,-190
0.6138711264141663,0.5825747884252792,0.6232394366197183,284,0.75,-190
0.6161242603550295,0.5864456126998155,0.6122448979591837,294,0.75,-190
0.6161242603550295,0.5864456126998155,0.6122448979591837,294,0.75,-190
0.6102323282254078,0.5814339998296487,0.5888157894736842,304,0.75,-190
0.6102323282254078,0.5814339998296487,0.5888157894736842,304,0.75,-190
0.6077799801783944,0.5724912351021394,0.5668789808917197,314,0.75,-190
0.6077799801783944,0.5724912351021394,0.5668789808917197,314,0.75,-190
0.6112767014406358,0.5778019441460821,0.5802469135802469,324,0.75,-190
0.6112767014406358,0.5778019441460821,0.5802469135802469,324,0.75,-190
0.6095617529880478,0.5829651629453176,0.5718562874251497,334,0.75,-190
0.6095617529880478,0.5829651629453176,0.5718562874251497,334,0.75,-190
0.5993509735396905,0.5743621818567639,0.5465116279069767,344,0.75,-190
0.5993509735396905,0.5743621818567639,0.5465116279069767,344,0.75,-190
0.6083583583583584,0.5799747469109877,0.5536723163841808,354,0.75,-190
0.6083583583583584,0.5799747469109877,0.5536723163841808,354,0.75,-190
0.6068740592072253,0.5793658719586756,0.521978021978022,364,0.75,-190
0.6068740592072253,0.5793658719586756,0.521978021978022,364,0.75,-190
0.6033702213279678,0.5766129751847812,0.5213903743315508,374,0.75,-190
0.6033702213279678,0.5766129751847812,0.5213903743315508,374,0.75,-190
0.613464447806354,0.5952829471344868,0.5572916666666666,384,0.75,-190
0.613464447806354,0.5952829471344868,0.5572916666666666,384,0.75,-190
0.6137512639029322,0.6022523163067646,0.5431472081218274,394,0.75,-190
0.6137512639029322,0.6022523163067646,0.5431472081218274,394,0.75,-190
0.6092245311708059,0.5987103981158967,0.5346534653465347,404,0.75,-190
0.6092245311708059,0.5987103981158967,0.5346534653465347,404,0.75,-190
0.6285569105691057,0.5994225861427113,0.5362318840579711,414,0.75,-190
0.6285569105691057,0.5994225861427113,0.5362318840579711,414,0.75,-190
0.6202241467142129,0.6017282984111219,0.5683962264150944,424,0.75,-190
0.6202241467142129,0.6017282984111219,0.5683962264150944,424,0.75,-190
0.625638406537283,0.5982000294471966,0.5414746543778802,434,0.75,-190
0.625638406537283,0.5982000294471966,0.5414746543778802,434,0.75,-190
0.6254480286738351,0.602353732995746,0.5675675675675675,444,0.75,-190
0.6254480286738351,0.602353732995746,0.5675675675675675,444,0.75,-190
0.6368069815195072,0.617385412536685,0.566079295154185,454,0.75,-190
0.6368069815195072,0.617385412536685,0.566079295154185,454,0.75,-190
0.6302110138960371,0.6137844326053055,0.5603448275862069,464,0.75,-190
0.6302110138960371,0.6137844326053055,0.5603448275862069,464,0.75,-190
0.6266769865841073,0.6165116795467073,0.569620253164557,474,0.75,-190
0.6266769865841073,0.6165116795467073,0.569620253164557,474,0.75,-190
0.6249353336782204,0.6207967923078785,0.5702479338842975,484,0.75,-190
0.6249353336782204,0.6207967923078785,0.5702479338842975,484,0.75,-190
0.6286307053941909,0.6171327854334956,0.5546558704453441,494,0.75,-190
0.6286307053941909,0.6171327854334956,0.5546558704453441,494,0.75,-190
0.6344253770150806,0.6311465057314483,0.5654761904761905,504,0.75,-190
0.6344253770150806,0.6311465057314483,0.5654761904761905,504,0.75,-190
