Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.21766475252939568,0.07921490108262015,1.0,10,0.75,-180,Random,2
0.21766475252939568,0.07921490108262015,1.0,10,0.75,-180,BvSB,2
0.21766475252939568,0.07921490108262015,1.0,10,0.75,-180,BvSB,2
0.4170317634173056,0.36546526395219286,1.0,15,0.75,-180,BvSB,7
0.4170317634173056,0.36546526395219286,1.0,15,0.75,-180,BvSB,7
0.4705237181244859,0.421323488819409,1.0,20,0.75,-180,BvSB,8
0.4705237181244859,0.421323488819409,1.0,20,0.75,-180,BvSB,8
0.5172981878088962,0.4630687860927311,1.0,25,0.75,-180,BvSB,9
0.5172981878088962,0.4630687860927311,1.0,25,0.75,-180,BvSB,9
0.576024195765741,0.5294656447921723,1.0,30,0.75,-180,BvSB,10
0.576024195765741,0.5294656447921723,1.0,30,0.75,-180,BvSB,10
0.5737885462555066,0.5307279292847972,1.0,35,0.75,-180,BvSB,10
0.5737885462555066,0.5307279292847972,1.0,35,0.75,-180,BvSB,10
0.6173145850565206,0.5681452774823114,1.0,40,0.75,-180,BvSB,10
0.6173145850565206,0.5681452774823114,1.0,40,0.75,-180,BvSB,10
0.6300386526780785,0.5816329825111952,1.0,45,0.75,-180,BvSB,10
0.6300386526780785,0.5816329825111952,1.0,45,0.75,-180,BvSB,10
0.6386508155930329,0.5927487823903886,1.0,50,0.75,-180,BvSB,11
0.6386508155930329,0.5927487823903886,1.0,50,0.75,-180,BvSB,11
0.6431339977851606,0.6019575196881014,1.0,55,0.75,-180,BvSB,12
0.6431339977851606,0.6019575196881014,1.0,55,0.75,-180,BvSB,12
0.6565012475741614,0.6250024799656613,1.0,60,0.75,-180,BvSB,12
0.6565012475741614,0.6250024799656613,1.0,60,0.75,-180,BvSB,12
0.6582454192115491,0.6288748054737691,1.0,65,0.75,-180,BvSB,12
0.6582454192115491,0.6288748054737691,1.0,65,0.75,-180,BvSB,12
0.6775090353072004,0.6617519564722127,1.0,70,0.75,-180,BvSB,12
0.6775090353072004,0.6617519564722127,1.0,70,0.75,-180,BvSB,12
0.6965478841870824,0.6837677117397366,1.0,75,0.75,-180,BvSB,12
0.6965478841870824,0.6837677117397366,1.0,75,0.75,-180,BvSB,12
0.7125731809311402,0.6980836150501317,1.0,80,0.75,-180,BvSB,12
0.7125731809311402,0.6980836150501317,1.0,80,0.75,-180,BvSB,12
0.7194304857621441,0.7052672019748253,1.0,85,0.75,-180,BvSB,12
0.7194304857621441,0.7052672019748253,1.0,85,0.75,-180,BvSB,12
0.725188705619234,0.7151030743594629,1.0,90,0.75,-180,BvSB,12
0.725188705619234,0.7151030743594629,1.0,90,0.75,-180,BvSB,12
0.7259238521836506,0.7197356845596978,1.0,95,0.75,-180,BvSB,12
0.7259238521836506,0.7197356845596978,1.0,95,0.75,-180,BvSB,12
0.7311466218110457,0.7271603627890886,1.0,100,0.75,-180,BvSB,12
0.7311466218110457,0.7271603627890886,1.0,100,0.75,-180,BvSB,12
0.7411566535654127,0.7344605844469526,1.0,105,0.75,-180,BvSB,12
0.7411566535654127,0.7344605844469526,1.0,105,0.75,-180,BvSB,12
0.7452909755411864,0.7383466995299587,1.0,110,0.75,-180,BvSB,12
0.7452909755411864,0.7383466995299587,1.0,110,0.75,-180,BvSB,12
0.7494369369369369,0.7421433051682826,1.0,115,0.75,-180,BvSB,12
0.7494369369369369,0.7421433051682826,1.0,115,0.75,-180,BvSB,12
0.7535945869749083,0.7464295152962961,1.0,120,0.75,-180,BvSB,12
0.7535945869749083,0.7464295152962961,1.0,120,0.75,-180,BvSB,12
0.7552230378317335,0.7477451900724205,1.0,125,0.75,-180,BvSB,12
0.7552230378317335,0.7477451900724205,1.0,125,0.75,-180,BvSB,12
0.7594006219960419,0.7528076506721475,1.0,130,0.75,-180,BvSB,12
0.7594006219960419,0.7528076506721475,1.0,130,0.75,-180,BvSB,12
0.7596262740656852,0.7541110483831288,1.0,135,0.75,-180,BvSB,12
0.7596262740656852,0.7541110483831288,1.0,135,0.75,-180,BvSB,12
0.7538984973064927,0.7492147141607854,1.0,140,0.75,-180,BvSB,12
0.7538984973064927,0.7492147141607854,1.0,140,0.75,-180,BvSB,12
0.7600795002839296,0.7538696890469027,1.0,145,0.75,-180,BvSB,12
0.7600795002839296,0.7538696890469027,1.0,145,0.75,-180,BvSB,12
0.765140744953085,0.7584029263005722,1.0,150,0.75,-180,BvSB,12
0.765140744953085,0.7584029263005722,1.0,150,0.75,-180,BvSB,12
0.7656605922551253,0.7583054029768149,1.0,155,0.75,-180,BvSB,12
0.7656605922551253,0.7583054029768149,1.0,155,0.75,-180,BvSB,12
0.7650413458796692,0.7570764418995332,1.0,160,0.75,-180,BvSB,12
0.7650413458796692,0.7570764418995332,1.0,160,0.75,-180,BvSB,12
0.7592804111936037,0.7517921142187729,1.0,165,0.75,-180,BvSB,12
0.7592804111936037,0.7517921142187729,1.0,165,0.75,-180,BvSB,12
0.7606519874177867,0.7511146275084556,1.0,170,0.75,-180,BvSB,12
0.7606519874177867,0.7511146275084556,1.0,170,0.75,-180,BvSB,12
0.7654639175257731,0.7585595620564756,1.0,175,0.75,-180,BvSB,12
0.7654639175257731,0.7585595620564756,1.0,175,0.75,-180,BvSB,12
0.767135073128764,0.7601983899896171,1.0,180,0.75,-180,BvSB,12
0.767135073128764,0.7601983899896171,1.0,180,0.75,-180,BvSB,12
0.7673750717978174,0.7620773371965567,1.0,185,0.75,-180,BvSB,12
0.7673750717978174,0.7620773371965567,1.0,185,0.75,-180,BvSB,12
0.7658901351740006,0.7601789593261817,1.0,190,0.75,-180,BvSB,12
0.7658901351740006,0.7601789593261817,1.0,190,0.75,-180,BvSB,12
0.7692972350230415,0.762503567313252,1.0,195,0.75,-180,BvSB,12
