Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.13863822805578344,0.03461350697397687,1.0,10,0.75,-180,Random,2
0.4650964812712826,0.36076653497233035,0.6713286713286714,143,0.75,-180,AP,12
0.4650964812712826,0.36076653497233035,0.6713286713286714,143,0.75,-180,BvSB,12
0.4650964812712826,0.36076653497233035,0.6713286713286714,143,0.75,-180,BvSB,12
0.48223927252060245,0.3890258245615053,0.6554054054054054,148,0.75,-180,BvSB,12
0.48223927252060245,0.3890258245615053,0.6554054054054054,148,0.75,-180,BvSB,12
0.504268639726807,0.41535115215652674,0.6601307189542484,153,0.75,-180,BvSB,12
0.504268639726807,0.41535115215652674,0.6601307189542484,153,0.75,-180,BvSB,12
0.5337703049301795,0.4411548734117953,0.6962025316455697,158,0.75,-180,BvSB,12
0.5337703049301795,0.4411548734117953,0.6962025316455697,158,0.75,-180,BvSB,12
0.5402397260273972,0.45258600109046315,0.7055214723926381,163,0.75,-180,BvSB,12
0.5402397260273972,0.45258600109046315,0.7055214723926381,163,0.75,-180,BvSB,12
0.5467276364675622,0.470320287160103,0.7083333333333334,168,0.75,-180,BvSB,12
0.5467276364675622,0.470320287160103,0.7083333333333334,168,0.75,-180,BvSB,12
0.588723526044648,0.5190600669846703,0.7514450867052023,173,0.75,-180,BvSB,12
0.588723526044648,0.5190600669846703,0.7514450867052023,173,0.75,-180,BvSB,12
0.6322728575523072,0.5773670569991344,0.7471910112359551,178,0.75,-180,BvSB,12
0.6322728575523072,0.5773670569991344,0.7471910112359551,178,0.75,-180,BvSB,12
0.653272101033295,0.6039785514778153,0.7704918032786885,183,0.75,-180,BvSB,12
0.653272101033295,0.6039785514778153,0.7704918032786885,183,0.75,-180,BvSB,12
0.6556481747628629,0.6073447033355285,0.7712765957446809,188,0.75,-180,BvSB,12
0.6556481747628629,0.6073447033355285,0.7712765957446809,188,0.75,-180,BvSB,12
0.6738629821531376,0.6212064225988049,0.7772020725388601,193,0.75,-180,BvSB,12
0.6738629821531376,0.6212064225988049,0.7772020725388601,193,0.75,-180,BvSB,12
0.6762755837417123,0.6287994230217056,0.7828282828282829,198,0.75,-180,BvSB,12
0.6762755837417123,0.6287994230217056,0.7828282828282829,198,0.75,-180,BvSB,12
0.6867782909930716,0.6443752545557123,0.8029556650246306,203,0.75,-180,BvSB,12
0.6867782909930716,0.6443752545557123,0.8029556650246306,203,0.75,-180,BvSB,12
0.6869037294015612,0.6443142970937639,0.7740384615384616,208,0.75,-180,BvSB,12
0.6869037294015612,0.6443142970937639,0.7740384615384616,208,0.75,-180,BvSB,12
0.6867400115807759,0.652031143279438,0.7699530516431925,213,0.75,-180,BvSB,12
0.6867400115807759,0.652031143279438,0.7699530516431925,213,0.75,-180,BvSB,12
0.6877355755291389,0.6482896316391517,0.7706422018348624,218,0.75,-180,BvSB,12
0.6877355755291389,0.6482896316391517,0.7706422018348624,218,0.75,-180,BvSB,12
0.7020905923344948,0.6644743118250669,0.7982062780269058,223,0.75,-180,BvSB,12
