Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.13809133169264423,0.033510870977792095,0.9,10,0.75,-180,Random,2
0.6674233825198638,0.6285200246191741,0.7552447552447552,143,0.75,-180,AP,12
0.6674233825198638,0.6285200246191741,0.7552447552447552,143,0.75,-180,BvSB,12
0.6674233825198638,0.6285200246191741,0.7552447552447552,143,0.75,-180,BvSB,12
0.6811594202898551,0.6492485154092689,0.7567567567567568,148,0.75,-180,BvSB,12
0.6811594202898551,0.6492485154092689,0.7567567567567568,148,0.75,-180,BvSB,12
0.6849743881616391,0.6531530729660313,0.7777777777777778,153,0.75,-180,BvSB,12
0.6849743881616391,0.6531530729660313,0.7777777777777778,153,0.75,-180,BvSB,12
0.6856654317469365,0.6540509672819609,0.7784810126582279,158,0.75,-180,BvSB,12
0.6856654317469365,0.6540509672819609,0.7784810126582279,158,0.75,-180,BvSB,12
0.6889269406392694,0.6543319571723664,0.7668711656441718,163,0.75,-180,BvSB,12
0.6889269406392694,0.6543319571723664,0.7668711656441718,163,0.75,-180,BvSB,12
0.6944841383252358,0.6612326507810634,0.7857142857142857,168,0.75,-180,BvSB,12
0.6944841383252358,0.6612326507810634,0.7857142857142857,168,0.75,-180,BvSB,12
0.6814539210074413,0.6452031429191065,0.7514450867052023,173,0.75,-180,BvSB,12
0.6814539210074413,0.6452031429191065,0.7514450867052023,173,0.75,-180,BvSB,12
0.6956147893379192,0.670864452147805,0.7808988764044944,178,0.75,-180,BvSB,12
0.6956147893379192,0.670864452147805,0.7808988764044944,178,0.75,-180,BvSB,12
0.7035017221584385,0.6807943698836069,0.7814207650273224,183,0.75,-180,BvSB,12
0.7035017221584385,0.6807943698836069,0.7814207650273224,183,0.75,-180,BvSB,12
0.7269330267318195,0.7080097634313184,0.7978723404255319,188,0.75,-180,BvSB,12
0.7269330267318195,0.7080097634313184,0.7978723404255319,188,0.75,-180,BvSB,12
0.7291306850892343,0.7130539546004903,0.7979274611398963,193,0.75,-180,BvSB,12
0.7291306850892343,0.7130539546004903,0.7979274611398963,193,0.75,-180,BvSB,12
0.7313346785817239,0.7155557565226598,0.7878787878787878,198,0.75,-180,BvSB,12
0.7313346785817239,0.7155557565226598,0.7878787878787878,198,0.75,-180,BvSB,12
0.7346997690531177,0.721644120923154,0.7881773399014779,203,0.75,-180,BvSB,12
0.7346997690531177,0.721644120923154,0.7881773399014779,203,0.75,-180,BvSB,12
0.739230991616074,0.727818956157626,0.7932692307692307,208,0.75,-180,BvSB,12
0.739230991616074,0.727818956157626,0.7932692307692307,208,0.75,-180,BvSB,12
0.7429067747539085,0.7322346558663674,0.7887323943661971,213,0.75,-180,BvSB,12
0.7429067747539085,0.7322346558663674,0.7887323943661971,213,0.75,-180,BvSB,12
0.7410843722818208,0.7315428182416734,0.7935779816513762,218,0.75,-180,BvSB,12
0.7410843722818208,0.7315428182416734,0.7935779816513762,218,0.75,-180,BvSB,12
0.7409988385598142,0.7307756384364362,0.7982062780269058,223,0.75,-180,BvSB,12
0.7409988385598142,0.7307756384364362,0.7982062780269058,223,0.75,-180,BvSB,12
0.7618493748182611,0.7570678091596715,0.8157894736842105,228,0.75,-180,BvSB,12
0.7618493748182611,0.7570678091596715,0.8157894736842105,228,0.75,-180,BvSB,12
0.7673267326732673,0.7631358559281929,0.8111587982832618,233,0.75,-180,BvSB,12
0.7673267326732673,0.7631358559281929,0.8111587982832618,233,0.75,-180,BvSB,12
0.7710702828813065,0.76772552158919,0.8067226890756303,238,0.75,-180,BvSB,12
0.7710702828813065,0.76772552158919,0.8067226890756303,238,0.75,-180,BvSB,12
0.7643107476635514,0.7612567542426798,0.7983539094650206,243,0.75,-180,BvSB,12
0.7643107476635514,0.7612567542426798,0.7983539094650206,243,0.75,-180,BvSB,12
0.7665984205908161,0.762407723975505,0.8024193548387096,248,0.75,-180,BvSB,12
0.7665984205908161,0.762407723975505,0.8024193548387096,248,0.75,-180,BvSB,12
0.7703573520796719,0.766201953738809,0.8063241106719368,253,0.75,-180,BvSB,12
0.7703573520796719,0.766201953738809,0.8063241106719368,253,0.75,-180,BvSB,12
0.7770607216192432,0.7743169727050039,0.8023255813953488,258,0.75,-180,BvSB,12
0.7770607216192432,0.7743169727050039,0.8023255813953488,258,0.75,-180,BvSB,12
0.7779083431257344,0.7747832076428768,0.8098859315589354,263,0.75,-180,BvSB,12
0.7779083431257344,0.7747832076428768,0.8098859315589354,263,0.75,-180,BvSB,12
0.7758164165931156,0.7726395560006825,0.8097014925373134,268,0.75,-180,BvSB,12
0.7758164165931156,0.7726395560006825,0.8097014925373134,268,0.75,-180,BvSB,12
0.7775486152033,0.7733060658656249,0.8095238095238095,273,0.75,-180,BvSB,12
0.7775486152033,0.7733060658656249,0.8095238095238095,273,0.75,-180,BvSB,12
0.7781056358807908,0.7738182949731566,0.8129496402877698,278,0.75,-180,BvSB,12
0.7781056358807908,0.7738182949731566,0.8129496402877698,278,0.75,-180,BvSB,12
0.7801418439716312,0.7764293267929476,0.8197879858657244,283,0.75,-180,BvSB,12
0.7801418439716312,0.7764293267929476,0.8197879858657244,283,0.75,-180,BvSB,12
0.7830719147676828,0.7798981994030278,0.8125,288,0.75,-180,BvSB,12
0.7830719147676828,0.7798981994030278,0.8125,288,0.75,-180,BvSB,12
0.7857142857142857,0.7830938729998681,0.8156996587030717,293,0.75,-180,BvSB,12
