Activity,Start time,Duration,Day of activity,Weekend or weekday
-1.139558131237000227e+00,-3.254787777313872948e-02,4.154437015387911991e+00,-5.799983888166342361e-01,-6.146531602966721630e-01
-1.008677310098816005e+00,8.476602199868928933e-01,-1.688092871853685284e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
1.478058291526684442e+00,8.726046755452365744e-01,-2.075224773734654360e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
1.347177470388500220e+00,8.906083715767530995e-01,-2.293396565896387296e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-8.777964889606317822e-01,9.033272253289594822e-01,-2.518129915717119416e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
1.608939112664868665e+00,9.108317013655797822e-01,-2.636237953579109727e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
4.310117224212104969e-01,9.166097955909588979e-01,-2.739582486708351250e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-2.233923832697106149e-01,9.203444174683379497e-01,-2.634597564164359862e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,9.249598463922688030e-01,-2.665764963044607305e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-8.777964889606317822e-01,9.296809721617859124e-01,-2.695291972510104883e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-6.160348466842633375e-01,9.332394326298547593e-01,-2.516489526302369550e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-4.851540255460790596e-01,9.422236645046818682e-01,-2.140840350324649255e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-2.233923832697106149e-01,9.574440102690950916e-01,3.260961992446670954e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-9.251156213152639252e-02,1.090128783761641129e+00,-2.470558622689372763e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,1.104080767379019834e+00,-2.708415087828103807e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-2.233923832697106149e-01,1.109295145094606028e+00,-1.704496766001183938e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,1.136071679309777149e+00,-2.731380539634602478e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
-7.469156678224475598e-01,1.139453978368535569e+00,1.762585209741127645e+00,-4.988847527568825158e-02,-6.146531602966721630e-01
4.310117224212104969e-01,-1.475732607407146624e+00,-2.670686131288856902e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
3.836925900665783679e-02,-1.480911752840870399e+00,-2.145761518568898851e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
3.836925900665783679e-02,-1.498598358335627934e+00,-1.899703106356418481e-01,-4.988847527568825158e-02,-6.146531602966721630e-01
