Activity,Start time,Duration,Day of activity,Weekend or weekday
9.127957787497276501e-03,-1.512560615671959319e+00,9.280309820601681525e-02,-4.575980987180393311e-02,-6.105210389409310157e-01
9.127957787497276501e-03,-1.322474768070925677e+00,1.235934354006067021e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
9.127957787497276501e-03,-1.389502284580381275e+00,1.803756156815385925e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-1.042412779332186012e+00,-1.214113616380639415e+00,-2.218981403932326069e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,-1.218302836162480363e+00,-2.037038502327931655e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-1.042412779332186012e+00,-1.225808521604945245e+00,-1.161313327572713744e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
1.060668694907180409e+00,-1.251432582603872801e+00,-2.025042267057312051e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,-1.261975452388172325e+00,5.858483678284749363e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
9.127957787497276501e-03,-9.050888371401710764e-01,1.921719136976476894e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,-9.816817388181633408e-01,-2.141005874673299891e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-1.223146343524631197e-01,-9.885590412933523696e-01,-2.332945639003210225e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
1.717881655606982472e+00,-9.915264053054896332e-01,-2.065029717959376843e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
1.192111287047140866e+00,-9.994161025612900984e-01,-2.214982658842119811e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,-1.003675142672828535e+00,3.653685601034880825e+00,-4.575980987180393311e-02,-6.105210389409310157e-01
9.127957787497276501e-03,-1.794112404307702802e-01,1.847742352807657251e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-7.795275950522650987e-01,-2.583431231536237327e-01,-2.246972619563771256e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
-9.109701871922255556e-01,-2.620436006275833063e-01,-2.035039129782828526e-01,-4.575980987180393311e-02,-6.105210389409310157e-01
