Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.08012031719989061,0.011886204020034406,0.7,10,0.75,-180,Random,2
0.08012031719989061,0.011886204020034406,0.7,10,0.75,-180,BvSB,2
0.08012031719989061,0.011886204020034406,0.7,10,0.75,-180,BvSB,2
0.10076670317634173,0.030830076700689178,0.4666666666666667,15,0.75,-180,BvSB,4
0.10076670317634173,0.030830076700689178,0.4666666666666667,15,0.75,-180,BvSB,4
0.24019742253907322,0.11892061027367856,0.65,20,0.75,-180,BvSB,6
0.24019742253907322,0.11892061027367856,0.65,20,0.75,-180,BvSB,6
0.27073036792970895,0.16186371330100405,0.72,25,0.75,-180,BvSB,7
0.27073036792970895,0.16186371330100405,0.72,25,0.75,-180,BvSB,7
0.25158097332966733,0.15025873617972793,0.6333333333333333,30,0.75,-180,BvSB,9
0.25158097332966733,0.15025873617972793,0.6333333333333333,30,0.75,-180,BvSB,9
0.30534140969163,0.20030978614667805,0.6857142857142857,35,0.75,-180,BvSB,9
0.30534140969163,0.20030978614667805,0.6857142857142857,35,0.75,-180,BvSB,9
0.3416046319272126,0.2591281298629683,0.75,40,0.75,-180,BvSB,9
0.3416046319272126,0.2591281298629683,0.75,40,0.75,-180,BvSB,9
0.3036996134732192,0.23215051626485725,0.7111111111111111,45,0.75,-180,BvSB,9
0.3036996134732192,0.23215051626485725,0.7111111111111111,45,0.75,-180,BvSB,9
0.3154547967929223,0.2443228750493305,0.74,50,0.75,-180,BvSB,10
0.3154547967929223,0.2443228750493305,0.74,50,0.75,-180,BvSB,10
0.33665559246954596,0.2629223436423648,0.7636363636363637,55,0.75,-180,BvSB,10
0.33665559246954596,0.2629223436423648,0.7636363636363637,55,0.75,-180,BvSB,10
0.3276961463820349,0.2455338134498623,0.7166666666666667,60,0.75,-180,BvSB,10
0.3276961463820349,0.2455338134498623,0.7166666666666667,60,0.75,-180,BvSB,10
0.3764575235980011,0.30479471431811833,0.7230769230769231,65,0.75,-180,BvSB,10
