Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type
0.13508340169537872,0.04058193063180998,1.0,10,0.75,-190,Random
0.1391851244189226,0.041763334554931766,1.0,11,0.75,-190,AP
0.14766201804757997,0.05352983910904212,1.0,12,0.75,-190,AP
0.1875854525567405,0.08806296880406336,1.0,13,0.75,-190,AP
0.18703855619360132,0.0878311346010755,0.9285714285714286,14,0.75,-190,AP
0.21903199343724364,0.14044661432875338,0.9333333333333333,15,0.75,-190,AP
0.21547716707683895,0.13810664520897697,0.9375,16,0.75,-190,AP
0.18293683347005743,0.08940898600391402,0.9411764705882353,17,0.75,-190,AP
0.18403062619633578,0.09185025703956007,0.9444444444444444,18,0.75,-190,AP
0.184577522559475,0.09574602120815053,0.8947368421052632,19,0.75,-190,AP
0.18649165983046212,0.10072048441633825,0.85,20,0.75,-190,AP
0.1878589007383101,0.10428688034672849,0.8095238095238095,21,0.75,-190,AP
0.18703855619360132,0.10276210625740397,0.7727272727272727,22,0.75,-190,AP
0.18703855619360132,0.10277778224680255,0.7391304347826086,23,0.75,-190,AP
0.20207820617992892,0.11848453032055001,0.75,24,0.75,-190,AP
0.1987968280010938,0.10716527028881817,0.76,25,0.75,-190,AP
0.19770303527481542,0.10045975463069247,0.7307692307692307,26,0.75,-190,AP
0.19907027618266337,0.099481122639544,0.7037037037037037,27,0.75,-190,AP
0.19934372436423298,0.0999521819998794,0.6785714285714286,28,0.75,-190,AP
0.2359857806945584,0.15930868456132358,0.7241379310344828,29,0.75,-190,AP
0.23434509160514083,0.1552022382215316,0.7333333333333333,30,0.75,-190,AP
0.23325129887886245,0.15340561065581418,0.7419354838709677,31,0.75,-190,AP
0.23352474706043205,0.15378764693883673,0.71875,32,0.75,-190,AP
0.23379819524200163,0.15424763355521973,0.696969696969697,33,0.75,-190,AP
0.23407164342357123,0.15478846830854195,0.7058823529411765,34,0.75,-190,AP
0.24008750341810228,0.16587195655845116,0.7142857142857143,35,0.75,-190,AP
0.2616899097621001,0.1853976169269911,0.75,36,0.75,-190,AP
0.26223680612523925,0.18570306812426912,0.7297297297297297,37,0.75,-190,AP
0.2750888706590101,0.20463559704329046,0.7368421052631579,38,0.75,-190,AP
0.27426852611430136,0.20405434302725042,0.7435897435897436,39,0.75,-190,AP
0.2671588733934919,0.19739537941685606,0.725,40,0.75,-190,AP
0.2614164615805305,0.19238975879338316,0.7317073170731707,41,0.75,-190,AP
0.25950232430954334,0.19081300527564998,0.7142857142857143,42,0.75,-190,AP
0.26223680612523925,0.19450229981272907,0.7209302325581395,43,0.75,-190,AP
0.26223680612523925,0.1959616108169869,0.7272727272727273,44,0.75,-190,AP
0.2685261143013399,0.2042897197038276,0.7333333333333333,45,0.75,-190,AP
0.264424391577796,0.19944035484447292,0.7391304347826086,46,0.75,-190,AP
0.26579163248564397,0.20066240008263425,0.7446808510638298,47,0.75,-190,AP
0.26579163248564397,0.20055592845425554,0.75,48,0.75,-190,AP
0.2578616352201258,0.19132508985100039,0.7346938775510204,49,0.75,-190,AP
0.2586819797648346,0.19230066896162215,0.72,50,0.75,-190,AP
0.25922887612797374,0.1931662279985259,0.7058823529411765,51,0.75,-190,AP
0.28411266065080665,0.21234039116337208,0.7307692307692307,52,0.75,-190,AP
0.2871205906480722,0.21440507585661617,0.7547169811320755,53,0.75,-190,AP
0.29559748427672955,0.22238857813195104,0.7592592592592593,54,0.75,-190,AP
0.29286300246103364,0.2183847484776457,0.7454545454545455,55,0.75,-190,AP
0.2838392124692371,0.20645692741137261,0.75,56,0.75,-190,AP
0.29969920700027347,0.22385329660373063,0.7543859649122807,57,0.75,-190,AP
0.2860267979217938,0.21191774302798813,0.7241379310344828,58,0.75,-190,AP
0.2808312824719716,0.2077374051546129,0.7288135593220338,59,0.75,-190,AP
0.2860267979217938,0.2126281718283272,0.7333333333333333,60,0.75,-190,AP
0.2715340442986054,0.20032041485487043,0.7049180327868853,61,0.75,-190,AP
0.271807492480175,0.20076236957432136,0.6935483870967742,62,0.75,-190,AP
0.27126059611703585,0.19902174739415665,0.6825396825396826,63,0.75,-190,AP
0.2748154224774405,0.2011573861590819,0.6875,64,0.75,-190,AP
0.28520645337708506,0.21033196378361785,0.6923076923076923,65,0.75,-190,AP
0.2832923161060979,0.20921573367619267,0.696969696969697,66,0.75,-190,AP
0.3390757451462948,0.24588282600133773,0.7014925373134329,67,0.75,-190,AP
0.3448181569592562,0.2478011585192056,0.7058823529411765,68,0.75,-190,AP
0.34864643150123054,0.2495242835930706,0.7101449275362319,69,0.75,-190,AP
0.34837298331966093,0.24932572354478502,0.7142857142857143,70,0.75,-190,AP
0.3489198796828001,0.2500756199486448,0.7183098591549296,71,0.75,-190,AP
0.40114848236259226,0.3126168121426998,0.75,72,0.75,-190,AP
0.40907847962811045,0.3191679054329729,0.7534246575342466,73,0.75,-190,AP
0.4140005468963631,0.32403507130384096,0.7432432432432432,74,0.75,-190,AP
0.4109926168990976,0.3210238967773374,0.7466666666666667,75,0.75,-190,AP
0.4148208914410719,0.3238759419105373,0.75,76,0.75,-190,AP
0.42056330325403335,0.32835614466862134,0.7402597402597403,77,0.75,-190,AP
0.42329778506972926,0.3309370496169314,0.7307692307692307,78,0.75,-190,AP
0.40989882417281925,0.32013467432399195,0.7341772151898734,79,0.75,-190,AP
0.3896636587366694,0.303295332780541,0.725,80,0.75,-190,AP
0.3527481542247744,0.26022546991972245,0.6790123456790124,81,0.75,-190,AP
0.3527481542247744,0.2601688504971968,0.6707317073170732,82,0.75,-190,AP
0.34263057150669946,0.2450900720851726,0.6626506024096386,83,0.75,-190,AP
0.3464588460486738,0.2514001881432967,0.6666666666666666,84,0.75,-190,AP
0.3475526387749521,0.25297069205886,0.6705882352941176,85,0.75,-190,AP
0.35083401695378724,0.25143753472260133,0.6744186046511628,86,0.75,-190,AP
0.353021602406344,0.25554238727509243,0.6896551724137931,87,0.75,-190,AP
0.36833470057424117,0.2764705518181489,0.7159090909090909,88,0.75,-190,AP
0.3675143560295324,0.275311552906733,0.7191011235955056,89,0.75,-190,AP
0.36505332239540605,0.2747860395177369,0.7222222222222222,90,0.75,-190,AP
0.42384468143286846,0.3428929940467334,0.7582417582417582,91,0.75,-190,AP
0.4298605414273995,0.3476856392094477,0.75,92,0.75,-190,AP
0.4334153677878042,0.3516605302568037,0.7526881720430108,93,0.75,-190,AP
0.4375170905113481,0.3560084194334068,0.7659574468085106,94,0.75,-190,AP
0.4265791632485644,0.3473593452148618,0.7473684210526316,95,0.75,-190,AP
0.4191960623461854,0.34147063274364536,0.7395833333333334,96,0.75,-190,AP
0.42111019961717255,0.3426784810028913,0.7422680412371134,97,0.75,-190,AP
0.4159146841673503,0.3261957999967239,0.7551020408163265,98,0.75,-190,AP
0.4161881323489199,0.3266741308975155,0.7474747474747475,99,0.75,-190,AP
0.4164615805304895,0.3269600167678679,0.74,100,0.75,-190,AP
0.4156412359857807,0.3253287345870296,0.7425742574257426,101,0.75,-190,AP
0.4156412359857807,0.3254252414961426,0.7450980392156863,102,0.75,-190,AP
0.4156412359857807,0.3283581140204555,0.7281553398058253,103,0.75,-190,AP
0.4156412359857807,0.32845836825575625,0.7307692307692307,104,0.75,-190,AP
0.41728192507519823,0.33060255520652265,0.7428571428571429,105,0.75,-190,AP
0.41700847689362863,0.33016768641027416,0.7452830188679245,106,0.75,-190,AP
0.4167350287120591,0.32964650544184004,0.7383177570093458,107,0.75,-190,AP
0.4159146841673503,0.3282328565942601,0.7314814814814815,108,0.75,-190,AP
0.46458846048673774,0.3941839768405374,0.7706422018348624,109,0.75,-190,AP
0.4667760459392945,0.3974671020720116,0.7636363636363637,110,0.75,-190,AP
0.46540880503144655,0.3959595900584401,0.7567567567567568,111,0.75,-190,AP
0.46759639048400325,0.3985595510886383,0.7589285714285714,112,0.75,-190,AP
0.46869018321028166,0.4000545542363259,0.7610619469026548,113,0.75,-190,AP
0.4706043204812688,0.40289030774390616,0.7543859649122807,114,0.75,-190,AP
0.46786983866557286,0.39923159216459536,0.7565217391304347,115,0.75,-190,AP
0.4706043204812688,0.40306662779175134,0.7586206896551724,116,0.75,-190,AP
0.45802570412906757,0.39557363727865114,0.7435897435897436,117,0.75,-190,AP
0.49576155318567133,0.3841143160648921,0.7372881355932204,118,0.75,-190,AP
0.4197429587093246,0.3390344782203996,0.7226890756302521,119,0.75,-190,AP
0.5001367240907848,0.43219600954055326,0.7583333333333333,120,0.75,-190,AP
0.5050587913590374,0.4401634427949669,0.7520661157024794,121,0.75,-190,AP
0.5083401695378725,0.445517686807614,0.7540983606557377,122,0.75,-190,AP
0.5105277549904293,0.4487229029356309,0.7560975609756098,123,0.75,-190,AP
0.5110746513535686,0.4494263027865687,0.7580645161290323,124,0.75,-190,AP
0.5116215477167076,0.45017826003760164,0.76,125,0.75,-190,AP
0.5135356849876949,0.4527058690106947,0.7619047619047619,126,0.75,-190,AP
0.5159967186218212,0.4482170177703666,0.7480314960629921,127,0.75,-190,AP
0.5058791359037462,0.39473041305537077,0.71875,128,0.75,-190,AP
0.49330051955154497,0.38546310240480164,0.7131782945736435,129,0.75,-190,AP
0.5455291222313372,0.4588990887034796,0.7692307692307693,130,0.75,-190,AP
0.5477167076838939,0.4635448284110309,0.7557251908396947,131,0.75,-190,AP
0.5493573967733114,0.4667074502974133,0.7575757575757576,132,0.75,-190,AP
0.5428571428571428,0.4575771616343872,0.7575757575757576,132,0.75,-190,AP
0.5428571428571428,0.4575771616343872,0.7575757575757576,132,0.75,-190,BvSB
0.5428571428571428,0.4575771616343872,0.7575757575757576,132,0.75,-190,BvSB
0.4893917963224894,0.39353912444977396,0.7218045112781954,133,0.75,-190,BvSB
0.48401697312588404,0.3897521593078722,0.7164179104477612,134,0.75,-190,BvSB
0.4823196605374823,0.3874807340626364,0.7111111111111111,135,0.75,-190,BvSB
0.47694483734087695,0.37774515375855094,0.7132352941176471,136,0.75,-190,BvSB
0.4758132956152758,0.3770049563780387,0.708029197080292,137,0.75,-190,BvSB
0.4752475247524752,0.3773899237456305,0.7101449275362319,138,0.75,-190,BvSB
0.4758132956152758,0.378623081008616,0.7050359712230215,139,0.75,-190,BvSB
0.47553041018387554,0.3777982038923798,0.7142857142857143,140,0.75,-190,BvSB
0.4758132956152758,0.37766085655530623,0.7163120567375887,141,0.75,-190,BvSB
0.47553041018387554,0.3775014461970328,0.7253521126760564,142,0.75,-190,BvSB
0.47432624113475175,0.3763853937203317,0.7253521126760564,142,0.75,-190,BvSB
0.47432624113475175,0.3763853937203317,0.7253521126760564,142,0.75,-190,BvSB
0.4768794326241135,0.3737349988327217,0.7272727272727273,143,0.75,-190,BvSB
0.48652482269503544,0.39151374841151654,0.7291666666666666,144,0.75,-190,BvSB
0.4919148936170213,0.40542230360381204,0.7241379310344828,145,0.75,-190,BvSB
0.4950354609929078,0.398451231862695,0.7328767123287672,146,0.75,-190,BvSB
0.5112056737588653,0.43477856201210313,0.7414965986394558,147,0.75,-190,BvSB
0.5129078014184397,0.4376982492833392,0.75,148,0.75,-190,BvSB
0.5112056737588653,0.4317141142750608,0.697986577181208,149,0.75,-190,BvSB
0.5129078014184397,0.4343231409537688,0.6933333333333334,150,0.75,-190,BvSB
0.5299290780141844,0.4599327964281893,0.7483443708609272,151,0.75,-190,BvSB
0.5052482269503547,0.4165574071352357,0.7236842105263158,152,0.75,-190,BvSB
0.5052631578947369,0.4164574067029399,0.7236842105263158,152,0.75,-190,BvSB
0.5052631578947369,0.4164574067029399,0.7236842105263158,152,0.75,-190,BvSB
0.505547652916074,0.417738504108353,0.7450980392156863,153,0.75,-190,BvSB
0.5320056899004267,0.45836444130162535,0.7597402597402597,154,0.75,-190,BvSB
0.5368421052631579,0.45617366020714595,0.7612903225806451,155,0.75,-190,BvSB
0.5399715504978663,0.457589396639953,0.7692307692307693,156,0.75,-190,BvSB
0.5416785206258891,0.46157171344583,0.7643312101910829,157,0.75,-190,BvSB
0.5473684210526316,0.46557811416284783,0.7721518987341772,158,0.75,-190,BvSB
0.5530583214793741,0.4674770469280031,0.7672955974842768,159,0.75,-190,BvSB
0.5559032716927453,0.473603667270647,0.76875,160,0.75,-190,BvSB
0.5601706970128023,0.4809277315942947,0.7763975155279503,161,0.75,-190,BvSB
0.5706970128022759,0.5028275557574917,0.7962962962962963,162,0.75,-190,BvSB
0.5700427960057062,0.5016043492974689,0.7962962962962963,162,0.75,-190,BvSB
0.5700427960057062,0.5016043492974689,0.7962962962962963,162,0.75,-190,BvSB
