Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type
0.13508340169537872,0.04058193063180998,1.0,10,0.75,-90,Random
0.13508340169537872,0.04058193063180998,1.0,10,0.75,-90,BvSB
0.13508340169537872,0.04058193063180998,1.0,10,0.75,-90,BvSB
0.13945857260049221,0.048075225532326446,1.0,11,0.75,-90,BvSB
0.1397320207820618,0.04867984746551671,1.0,12,0.75,-90,BvSB
0.16981132075471697,0.0856727993810224,1.0,13,0.75,-90,BvSB
0.17008476893628657,0.08619006566960422,1.0,14,0.75,-90,BvSB
0.14766201804757997,0.0513101768593275,1.0,15,0.75,-90,BvSB
0.23407164342357123,0.13227724153561182,0.9375,16,0.75,-90,BvSB
0.2614164615805305,0.14037487842876822,0.9411764705882353,17,0.75,-90,BvSB
0.26770576975663113,0.14041823987703184,0.9444444444444444,18,0.75,-90,BvSB
0.26797921793820073,0.1411278061871693,0.9473684210526315,19,0.75,-90,BvSB
0.28493300519551545,0.17137756263369044,0.95,20,0.75,-90,BvSB
0.2832465039758706,0.16939484637936664,0.95,20,0.75,-90,BvSB
0.2832465039758706,0.16939484637936664,0.95,20,0.75,-90,BvSB
0.2837948999177406,0.17035485172450715,0.9523809523809523,21,0.75,-90,BvSB
0.2813271181793255,0.15758371591696738,0.8636363636363636,22,0.75,-90,BvSB
0.28105292020839046,0.15867521737422088,0.8695652173913043,23,0.75,-90,BvSB
0.2876336715108308,0.17136595546044217,0.9166666666666666,24,0.75,-90,BvSB
0.3002467781738415,0.1917883034798005,0.92,25,0.75,-90,BvSB
0.3005209761447765,0.192011201234282,0.9230769230769231,26,0.75,-90,BvSB
0.30408554976693175,0.1995045228534385,0.9259259259259259,27,0.75,-90,BvSB
0.2972306004935564,0.19433026481093604,0.9285714285714286,28,0.75,-90,BvSB
0.2991499862901015,0.19635250169549068,0.9310344827586207,29,0.75,-90,BvSB
0.29942418426103645,0.19677857056574155,0.9333333333333333,30,0.75,-90,BvSB
0.29749793786087436,0.19403295336810353,0.9333333333333333,30,0.75,-90,BvSB
0.29749793786087436,0.19403295336810353,0.9333333333333333,30,0.75,-90,BvSB
0.29859774539455597,0.18650001253632698,0.9354838709677419,31,0.75,-90,BvSB
0.2925488039593071,0.1799620104465756,0.9375,32,0.75,-90,BvSB
