Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type,Classes
0.12332512988788624,0.03608499510942877,1.0,10,0.75,-180,Random,2
0.12332512988788624,0.03608499510942877,1.0,10,0.75,-180,BvSB,2
0.12332512988788624,0.03608499510942877,1.0,10,0.75,-180,BvSB,2
0.1716867469879518,0.07388949302339964,1.0,15,0.75,-180,BvSB,3
0.1716867469879518,0.07388949302339964,1.0,15,0.75,-180,BvSB,3
0.3010693720866466,0.17915333302361672,0.95,20,0.75,-180,BvSB,4
0.3010693720866466,0.17915333302361672,0.95,20,0.75,-180,BvSB,4
0.3440417353102691,0.2337375373098474,0.96,25,0.75,-180,BvSB,5
0.3440417353102691,0.2337375373098474,0.96,25,0.75,-180,BvSB,5
0.3343414902392081,0.22548338628237818,0.9,30,0.75,-180,BvSB,6
0.3343414902392081,0.22548338628237818,0.9,30,0.75,-180,BvSB,6
0.31993392070484583,0.21363278923914114,0.8857142857142857,35,0.75,-180,BvSB,6
0.31993392070484583,0.21363278923914114,0.8857142857142857,35,0.75,-180,BvSB,6
0.3462917011304108,0.2444687325319552,0.875,40,0.75,-180,BvSB,7
0.3462917011304108,0.2444687325319552,0.875,40,0.75,-180,BvSB,7
0.3175041413583655,0.21757939258607742,0.8444444444444444,45,0.75,-180,BvSB,8
0.3175041413583655,0.21757939258607742,0.8444444444444444,45,0.75,-180,BvSB,8
0.32789604644733206,0.22727300430734643,0.82,50,0.75,-180,BvSB,8
0.32789604644733206,0.22727300430734643,0.82,50,0.75,-180,BvSB,8
