Accuracy,F1 Score,Train Accuracy,Number of Annotations,damping,preference,Train_type
0.13508340169537872,0.04058193063180998,1.0,10,0.75,-180,Random
0.1391851244189226,0.041763334554931766,1.0,11,0.75,-180,AP
0.14164615805304895,0.040900906053665455,1.0,12,0.75,-180,AP
0.1916871752802844,0.08447579172384605,1.0,13,0.75,-180,AP
0.19278096800656275,0.0847814466413667,1.0,14,0.75,-180,AP
0.19305441618813235,0.08462049591529928,0.9333333333333333,15,0.75,-180,AP
0.21547716707683895,0.1240084075362337,0.9375,16,0.75,-180,AP
0.21410992616899097,0.12227683063774525,0.9411764705882353,17,0.75,-180,AP
0.18840579710144928,0.08811984310298736,0.8888888888888888,18,0.75,-180,AP
0.18949958982772763,0.08796826139536158,0.8947368421052632,19,0.75,-180,AP
0.18922614164615806,0.08793967646410915,0.85,20,0.75,-180,AP
0.18895269346458846,0.08786363245934455,0.8095238095238095,21,0.75,-180,AP
0.18895269346458846,0.08891589836241086,0.8181818181818182,22,0.75,-180,AP
0.20700027344818156,0.1153588539495025,0.8695652173913043,23,0.75,-180,AP
0.20700027344818156,0.1153588539495025,0.8333333333333334,24,0.75,-180,AP
0.20782061799289034,0.11609098438847251,0.8,25,0.75,-180,AP
0.212742685261143,0.12731949195335926,0.7692307692307693,26,0.75,-180,AP
0.20645337708504238,0.1170200310148034,0.7407407407407407,27,0.75,-180,AP
0.19989062072737215,0.10109557046031303,0.6785714285714286,28,0.75,-180,AP
0.20071096527208093,0.10265679856535419,0.6551724137931034,29,0.75,-180,AP
0.23735302160240634,0.16249490704283864,0.7,30,0.75,-180,AP
0.23489198796828,0.15584937014605027,0.7096774193548387,31,0.75,-180,AP
0.23489198796828,0.15586508721851927,0.71875,32,0.75,-180,AP
0.23680612523926717,0.15944565561130777,0.7272727272727273,33,0.75,-180,AP
0.23844681432868473,0.1622746367407394,0.7058823529411765,34,0.75,-180,AP
0.2392671588733935,0.16335748141113487,0.6857142857142857,35,0.75,-180,AP
0.24090784796281103,0.16601825745981738,0.6944444444444444,36,0.75,-180,AP
0.2827454197429587,0.1927168531051116,0.7297297297297297,37,0.75,-180,AP
0.28438610883237625,0.1926918460895476,0.7368421052631579,38,0.75,-180,AP
0.28493300519551545,0.19296646075362772,0.717948717948718,39,0.75,-180,AP
0.29641782882143836,0.209761592113058,0.725,40,0.75,-180,AP
0.3007929997265518,0.2155910019297749,0.7317073170731707,41,0.75,-180,AP
0.293956795187312,0.20939425846541426,0.7380952380952381,42,0.75,-180,AP
0.2838392124692371,0.20313683440790897,0.7209302325581395,43,0.75,-180,AP
0.280557834290402,0.20203056013088486,0.7272727272727273,44,0.75,-180,AP
0.2835657642876675,0.20668769756284708,0.7333333333333333,45,0.75,-180,AP
0.28110473065354113,0.20764495694905774,0.7391304347826086,46,0.75,-180,AP
0.2860267979217938,0.21568052130362414,0.7446808510638298,47,0.75,-180,AP
0.28165162701668034,0.21041556899423947,0.75,48,0.75,-180,AP
0.2832923161060979,0.2115903553550318,0.7551020408163265,49,0.75,-180,AP
0.2838392124692371,0.21178269858684315,0.74,50,0.75,-180,AP
0.28465955701394585,0.2124969276887238,0.7254901960784313,51,0.75,-180,AP
0.2857533497402242,0.21332630043326534,0.7115384615384616,52,0.75,-180,AP
0.3007929997265518,0.21836188364911488,0.7169811320754716,53,0.75,-180,AP
0.30762920426579166,0.22564966567801623,0.7407407407407407,54,0.75,-180,AP
0.3120043751709051,0.22925564162024226,0.7272727272727273,55,0.75,-180,AP
0.3089964451736396,0.22539828598113504,0.7321428571428571,56,0.75,-180,AP
0.3005195515449822,0.21402724064798467,0.7368421052631579,57,0.75,-180,AP
0.31446540880503143,0.22942077274788622,0.7413793103448276,58,0.75,-180,AP
0.3024336888159694,0.2191949911746202,0.7457627118644068,59,0.75,-180,AP
0.2969647251845775,0.21457845734914247,0.7333333333333333,60,0.75,-180,AP
0.30407437790538694,0.2213792297722958,0.7377049180327869,61,0.75,-180,AP
0.3048947224500957,0.2225191858263283,0.7419354838709677,62,0.75,-180,AP
0.3059885151763741,0.2232060406120012,0.7301587301587301,63,0.75,-180,AP
0.30708230790265245,0.22467374290547115,0.71875,64,0.75,-180,AP
0.3048947224500957,0.21995206123547453,0.6923076923076923,65,0.75,-180,AP
0.3089964451736396,0.22344544307150102,0.7121212121212122,66,0.75,-180,AP
0.3497402242275089,0.25493289256107804,0.7164179104477612,67,0.75,-180,AP
0.34618539786710417,0.25249920752589194,0.7058823529411765,68,0.75,-180,AP
0.3344271260596117,0.24445575911498904,0.7101449275362319,69,0.75,-180,AP
0.3743505605687722,0.2690512808557665,0.7142857142857143,70,0.75,-180,AP
0.37599124965818975,0.26865865407499767,0.7183098591549296,71,0.75,-180,AP
0.3776319387476073,0.2693598062780354,0.7222222222222222,72,0.75,-180,AP
0.37735849056603776,0.2692779324588509,0.726027397260274,73,0.75,-180,AP
0.37599124965818975,0.26871374725292835,0.7297297297297297,74,0.75,-180,AP
0.38802296964725186,0.3019583211834917,0.72,75,0.75,-180,AP
0.39075745146294777,0.30419457830667307,0.7105263157894737,76,0.75,-180,AP
0.3932184850970741,0.30552640992194563,0.7012987012987013,77,0.75,-180,AP
0.39267158873393493,0.30491772472248346,0.7051282051282052,78,0.75,-180,AP
0.3937653814602133,0.30559957282902916,0.7088607594936709,79,0.75,-180,AP
0.39567951873120044,0.3015118113244744,0.7125,80,0.75,-180,AP
0.39622641509433965,0.30247766502458645,0.7037037037037037,81,0.75,-180,AP
0.39595296691277004,0.30202094728991274,0.7073170731707317,82,0.75,-180,AP
0.3943122778233525,0.29937208834735046,0.7108433734939759,83,0.75,-180,AP
0.39267158873393493,0.2961905246659001,0.7023809523809523,84,0.75,-180,AP
0.39294503691550453,0.2966225543257637,0.6941176470588235,85,0.75,-180,AP
0.3932184850970741,0.29988739197800063,0.6976744186046512,86,0.75,-180,AP
0.39513262236806124,0.3029141371208911,0.6896551724137931,87,0.75,-180,AP
0.39595296691277004,0.30340265952104095,0.6931818181818182,88,0.75,-180,AP
0.35985780694558384,0.26266503594074647,0.651685393258427,89,0.75,-180,AP
0.37735849056603776,0.2745783786189716,0.6888888888888889,90,0.75,-180,AP
0.3934919332786437,0.2974867396068841,0.7252747252747253,91,0.75,-180,AP
0.39267158873393493,0.29627334457463406,0.7282608695652174,92,0.75,-180,AP
0.38774952146568226,0.29393437517040444,0.7311827956989247,93,0.75,-180,AP
0.412086409625376,0.3339326509309891,0.7127659574468085,94,0.75,-180,AP
0.410719168717528,0.32333241040020155,0.7368421052631579,95,0.75,-180,AP
0.4115395132622368,0.3255382568136388,0.7291666666666666,96,0.75,-180,AP
0.4156412359857807,0.33032041659724454,0.7319587628865979,97,0.75,-180,AP
0.4153677878042111,0.3298056222036357,0.7346938775510204,98,0.75,-180,AP
0.4145474432595023,0.3286910768570486,0.7373737373737373,99,0.75,-180,AP
0.4148208914410719,0.3286815599304422,0.74,100,0.75,-180,AP
0.40114848236259226,0.30193257070567925,0.693069306930693,101,0.75,-180,AP
0.4057971014492754,0.30850476927033754,0.696078431372549,102,0.75,-180,AP
0.40607054963084493,0.3089538129329842,0.6893203883495146,103,0.75,-180,AP
0.4055236532677058,0.30724815252246596,0.6923076923076923,104,0.75,-180,AP
0.4055236532677058,0.3070304136100052,0.6952380952380952,105,0.75,-180,AP
0.4044298605414274,0.3041309277431392,0.6886792452830188,106,0.75,-180,AP
0.44052502050861364,0.34679931287483134,0.7009345794392523,107,0.75,-180,AP
0.4407984686901832,0.3475957683129051,0.6944444444444444,108,0.75,-180,AP
0.441618813234892,0.34868567771203113,0.6972477064220184,109,0.75,-180,AP
0.441618813234892,0.34895265795272595,0.7090909090909091,110,0.75,-180,AP
0.44298605414273995,0.3512786512576597,0.7117117117117117,111,0.75,-180,AP
0.44243915777960074,0.35039342312534705,0.7053571428571429,112,0.75,-180,AP
0.4927536231884058,0.37346381042313626,0.7256637168141593,113,0.75,-180,AP
0.49302707136997537,0.37362565886755233,0.7192982456140351,114,0.75,-180,AP
0.49302707136997537,0.37419248015036366,0.7217391304347827,115,0.75,-180,AP
0.49330051955154497,0.3743196556439305,0.7155172413793104,116,0.75,-180,AP
0.4943943122778234,0.37523544843132645,0.717948717948718,117,0.75,-180,AP
0.4943943122778234,0.37523544843132645,0.7203389830508474,118,0.75,-180,AP
0.4946677604593929,0.37583003831123574,0.7226890756302521,119,0.75,-180,AP
0.4946677604593929,0.37590748950728353,0.7166666666666667,120,0.75,-180,AP
0.4946677604593929,0.37598369720525443,0.71900826446281,121,0.75,-180,AP
0.4938474159146842,0.37595588898585114,0.7213114754098361,122,0.75,-180,AP
0.4706043204812688,0.3914978049725014,0.7154471544715447,123,0.75,-180,AP
0.44353295050587915,0.3577004786643863,0.6935483870967742,124,0.75,-180,AP
0.4971287940935193,0.38011816838246076,0.72,125,0.75,-180,AP
0.49767569045665844,0.381347275667383,0.7142857142857143,126,0.75,-180,AP
0.49876948318293685,0.3836070678989177,0.7086614173228346,127,0.75,-180,AP
0.4998632759092152,0.385797803167795,0.7109375,128,0.75,-180,AP
0.500683620453924,0.38669036423145386,0.7131782945736435,129,0.75,-180,AP
0.5001367240907848,0.3860962606448638,0.7153846153846154,130,0.75,-180,AP
0.5004101722723544,0.3868168802109449,0.7175572519083969,131,0.75,-180,AP
0.500683620453924,0.38738918598179206,0.7121212121212122,132,0.75,-180,AP
0.4706043204812688,0.3929379068910728,0.6842105263157895,133,0.75,-180,AP
0.4470877768662838,0.36221361023440135,0.6567164179104478,134,0.75,-180,AP
0.4186491659830462,0.33492855788361475,0.6444444444444445,135,0.75,-180,AP
0.42111019961717255,0.33567544229934604,0.6544117647058824,136,0.75,-180,AP
0.4129141886151232,0.32503092106977244,0.6544117647058824,136,0.75,-180,AP
0.4129141886151232,0.32503092106977244,0.6544117647058824,136,0.75,-180,BvSB
0.4129141886151232,0.32503092106977244,0.6544117647058824,136,0.75,-180,BvSB
